timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1750001265574,326,HTTP Request,200,,Thread Group 1-133,text,true,,5431,126,166,166,http://localhost:8080/owners/6,306,0,4
1750001265617,282,HTTP Request,200,,Thread Group 1-138,text,true,,5431,126,166,166,http://localhost:8080/owners/6,267,0,2
1750001264917,983,HTTP Request,200,,Thread Group 1-68,text,true,,5431,126,166,166,http://localhost:8080/owners/6,974,0,1
1750001265839,60,HTTP Request,200,,Thread Group 1-157,text,true,,5431,126,166,166,http://localhost:8080/owners/6,31,0,5
1750001264436,1465,HTTP Request,200,,Thread Group 1-5,text,true,,5431,126,166,166,http://localhost:8080/owners/6,1458,0,53
1750001264638,1261,HTTP Request,200,,Thread Group 1-40,text,true,,5431,126,166,166,http://localhost:8080/owners/6,1246,0,1
1750001265596,304,HTTP Request,200,,Thread Group 1-136,text,true,,5431,126,166,166,http://localhost:8080/owners/6,280,0,2
1750001265077,822,HTTP Request,200,,Thread Group 1-84,text,true,,5431,126,166,166,http://localhost:8080/owners/6,806,0,2
1750001265705,194,HTTP Request,200,,Thread Group 1-147,text,true,,5431,126,166,166,http://localhost:8080/owners/6,184,0,2
1750001265874,26,HTTP Request,200,,Thread Group 1-163,text,true,,5431,126,166,166,http://localhost:8080/owners/6,14,0,2
1750001264438,1461,HTTP Request,200,,Thread Group 1-15,text,true,,5431,126,166,166,http://localhost:8080/owners/6,1421,0,53
1750001264667,1234,HTTP Request,200,,Thread Group 1-43,text,true,,5431,126,166,166,http://localhost:8080/owners/6,1192,0,1
1750001265199,699,HTTP Request,200,,Thread Group 1-96,text,true,,5431,126,166,166,http://localhost:8080/owners/6,663,0,3
1750001265606,291,HTTP Request,200,,Thread Group 1-137,text,true,,5431,126,166,166,http://localhost:8080/owners/6,291,0,1
1750001264437,1461,HTTP Request,200,,Thread Group 1-4,text,true,,5431,126,166,166,http://localhost:8080/owners/6,1425,0,54
1750001265026,875,HTTP Request,200,,Thread Group 1-79,text,true,,5431,126,166,166,http://localhost:8080/owners/6,870,0,1
1750001264437,1462,HTTP Request,200,,Thread Group 1-10,text,true,,5431,126,166,166,http://localhost:8080/owners/6,1446,0,52
1750001264867,1033,HTTP Request,200,,Thread Group 1-63,text,true,,5431,126,166,166,http://localhost:8080/owners/6,1027,0,1
1750001265218,683,HTTP Request,200,,Thread Group 1-98,text,true,,5431,126,166,166,http://localhost:8080/owners/6,662,0,3
1750001264471,1430,HTTP Request,200,,Thread Group 1-23,text,true,,5431,126,166,166,http://localhost:8080/owners/6,1425,0,18
1750001264438,1461,HTTP Request,200,,Thread Group 1-14,text,true,,5431,126,166,166,http://localhost:8080/owners/6,1424,0,50
1750001265297,603,HTTP Request,200,,Thread Group 1-106,text,true,,5431,126,166,166,http://localhost:8080/owners/6,579,0,1
1750001264780,1119,HTTP Request,200,,Thread Group 1-54,text,true,,5431,126,166,166,http://localhost:8080/owners/6,1105,0,1
1750001264838,1063,HTTP Request,200,,Thread Group 1-60,text,true,,5431,126,166,166,http://localhost:8080/owners/6,1058,0,1
1750001265136,762,HTTP Request,200,,Thread Group 1-90,text,true,,5431,126,166,166,http://localhost:8080/owners/6,730,0,1
