timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1750002712926,323,Create Pet,200,,Thread Group 1-174,text,true,,4932,345,206,206,http://localhost:8080/owners/1/pets/new,220,0,1
1750002713017,233,Create Pet,200,,Thread Group 1-183,text,true,,4932,345,206,206,http://localhost:8080/owners/1/pets/new,147,0,5
1750002712837,411,Create Pet,200,,Thread Group 1-165,text,true,,4932,345,206,206,http://localhost:8080/owners/1/pets/new,369,0,2
1750002711593,1655,Create Pet,200,,Thread Group 1-41,text,true,,4932,345,206,206,http://localhost:8080/owners/1/pets/new,1605,0,2
1750002712262,988,Create Pet,200,,Thread Group 1-108,text,true,,4932,345,206,206,http://localhost:8080/owners/1/pets/new,885,0,2
1750002713162,88,Create Pet,200,,Thread Group 1-197,text,true,,4932,345,206,206,http://localhost:8080/owners/1/pets/new,63,0,9
1750002712143,1107,Create Pet,200,,Thread Group 1-96,text,true,,4932,345,206,206,http://localhost:8080/owners/1/pets/new,1004,0,3
1750002711554,1696,Create Pet,200,,Thread Group 1-37,text,true,,4932,345,206,206,http://localhost:8080/owners/1/pets/new,1651,0,2
1750002712473,775,Create Pet,200,,Thread Group 1-129,text,true,,4932,345,206,206,http://localhost:8080/owners/1/pets/new,701,0,2
1750002712944,307,Create Pet,200,,Thread Group 1-176,text,true,,4932,345,206,206,http://localhost:8080/owners/1/pets/new,212,0,2
1750002712463,788,Create Pet,200,,Thread Group 1-128,text,true,,4932,345,206,206,http://localhost:8080/owners/1/pets/new,743,0,2
1750002712704,548,Create Pet,200,,Thread Group 1-152,text,true,,4932,345,206,206,http://localhost:8080/owners/1/pets/new,500,0,3
1750002712524,725,Create Pet,200,,Thread Group 1-134,text,true,,4932,345,206,206,http://localhost:8080/owners/1/pets/new,682,0,2
1750002712382,866,Create Pet,200,,Thread Group 1-120,text,true,,4932,345,206,206,http://localhost:8080/owners/1/pets/new,804,0,1
1750002711963,1285,Create Pet,200,,Thread Group 1-78,text,true,,4932,345,206,206,http://localhost:8080/owners/1/pets/new,1219,0,3
1750002713197,51,Create Pet,200,,Thread Group 1-199,text,true,,4932,345,206,206,http://localhost:8080/owners/1/pets/new,27,0,6
1750002712086,1162,Create Pet,200,,Thread Group 1-90,text,true,,4932,345,206,206,http://localhost:8080/owners/1/pets/new,1061,0,4
1750002713124,125,Create Pet,200,,Thread Group 1-194,text,true,,4932,345,206,206,http://localhost:8080/owners/1/pets/new,100,0,16
1750002711713,1535,Create Pet,200,,Thread Group 1-53,text,true,,4932,345,206,206,http://localhost:8080/owners/1/pets/new,1486,0,2
1750002711403,1850,Create Pet,200,,Thread Group 1-10,text,true,,4932,345,206,206,http://localhost:8080/owners/1/pets/new,1785,0,70
1750002712163,1093,Create Pet,200,,Thread Group 1-98,text,true,,4932,345,206,206,http://localhost:8080/owners/1/pets/new,1005,0,2
1750002713212,44,Create Pet,200,,Thread Group 1-203,text,true,,4932,345,206,206,http://localhost:8080/owners/1/pets/new,44,0,2
1750002713208,48,Create Pet,200,,Thread Group 1-202,text,true,,4932,345,206,206,http://localhost:8080/owners/1/pets/new,48,0,1
1750002713243,14,Create Pet,200,,Thread Group 1-206,text,true,,4932,345,206,206,http://localhost:8080/owners/1/pets/new,14,0,1
1750002712643,615,Create Pet,200,,Thread Group 1-146,text,true,,4932,345,206,206,http://localhost:8080/owners/1/pets/new,563,0,1
1750002713208,51,Create Pet,200,,Thread Group 1-201,text,true,,4932,345,206,206,http://localhost:8080/owners/1/pets/new,50,0,1
1750002713166,95,Create Pet,200,,Thread Group 1-198,text,true,,4932,345,206,206,http://localhost:8080/owners/1/pets/new,61,0,5
