timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1750000931470,1186,HTTP Request,200,,Thread Group 1-161,text,true,,5431,126,279,279,http://localhost:8080/owners/6,1155,0,19
1750000931720,936,HTTP Request,200,,Thread Group 1-186,text,true,,5431,126,279,279,http://localhost:8080/owners/6,906,0,1
1750000931160,1496,HTTP Request,200,,Thread Group 1-130,text,true,,5431,126,279,279,http://localhost:8080/owners/6,1465,0,2
1750000930842,1813,HTTP Request,200,,Thread Group 1-98,text,true,,5431,126,279,279,http://localhost:8080/owners/6,1783,0,1
1750000930521,2135,HTTP Request,200,,Thread Group 1-66,text,true,,5431,126,279,279,http://localhost:8080/owners/6,2104,0,2
1750000930659,1996,HTTP Request,200,,Thread Group 1-80,text,true,,5431,126,279,279,http://localhost:8080/owners/6,1966,0,1
1750000930096,2562,HTTP Request,200,,Thread Group 1-22,text,true,,5431,126,279,279,http://localhost:8080/owners/6,2531,0,66
1750000930203,2455,HTTP Request,200,,Thread Group 1-34,text,true,,5431,126,279,279,http://localhost:8080/owners/6,2424,0,3
1750000931260,1398,HTTP Request,200,,Thread Group 1-140,text,true,,5431,126,279,279,http://localhost:8080/owners/6,1365,0,1
1750000930149,2509,HTTP Request,200,,Thread Group 1-29,text,true,,5431,126,279,279,http://localhost:8080/owners/6,2477,0,12
1750000930530,2129,HTTP Request,200,,Thread Group 1-67,text,true,,5431,126,279,279,http://localhost:8080/owners/6,2095,0,2
1750000930851,1809,HTTP Request,200,,Thread Group 1-99,text,true,,5431,126,280,280,http://localhost:8080/owners/6,1776,0,1
1750000931872,792,HTTP Request,200,,Thread Group 1-201,text,true,,5431,126,280,280,http://localhost:8080/owners/6,792,0,2
1750000931903,762,HTTP Request,200,,Thread Group 1-204,text,true,,5431,126,280,280,http://localhost:8080/owners/6,761,0,2
1750000931910,755,HTTP Request,200,,Thread Group 1-205,text,true,,5431,126,280,280,http://localhost:8080/owners/6,754,0,1
1750000931960,706,HTTP Request,200,,Thread Group 1-210,text,true,,5431,126,280,280,http://localhost:8080/owners/6,705,0,1
1750000931941,726,HTTP Request,200,,Thread Group 1-208,text,true,,5431,126,280,280,http://localhost:8080/owners/6,725,0,3
1750000931953,714,HTTP Request,200,,Thread Group 1-209,text,true,,5431,126,280,280,http://localhost:8080/owners/6,712,0,1
1750000931969,698,HTTP Request,200,,Thread Group 1-211,text,true,,5431,126,280,280,http://localhost:8080/owners/6,698,0,1
1750000931979,690,HTTP Request,200,,Thread Group 1-212,text,true,,5431,126,280,280,http://localhost:8080/owners/6,690,0,1
1750000932000,671,HTTP Request,200,,Thread Group 1-214,text,true,,5431,126,280,280,http://localhost:8080/owners/6,670,0,2
1750000932009,662,HTTP Request,200,,Thread Group 1-215,text,true,,5431,126,280,280,http://localhost:8080/owners/6,661,0,1
